Back,Back
"Delete Export Job","Delete Export Job"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save & Run","Save & Run"
"Save and Continue Edit","Save and Continue Edit"
"Save Job","Save Job"
"View History","View History"
"Delete Import Job","Delete Import Job"
"You deleted the job.","You deleted the job."
"We can't find a job to delete.","We can't find a job to delete."
"The job changed status.","The job changed status."
"We can't find a job to сhange status.","We can't find a job to сhange status."
"This job is no longer exists.","This job is no longer exists."
"Export Jobs","Export Jobs"
Export,Export
"Edit Job","Edit Job"
"New Job","New Job"
Jobs,Jobs
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the export job.","Something went wrong while saving the export job."
"This export no longer exists.","This export no longer exists."
"You saved the export.","You saved the export."
"Something went wrong while saving the export.","Something went wrong while saving the export."
"The job has been deleted.","The job has been deleted."
"File not found.","File not found."
"Import Jobs","Import Jobs"
Import,Import
"Something went wrong while saving the job.","Something went wrong while saving the job."
"Job title can't be empty.","Job title can't be empty."
"This job no longer exists.","This job no longer exists."
"Job was saved successfully.","Job was saved successfully."
Status,Status
"Maximum error count has been reached or system error is occurred!","Maximum error count has been reached or system error is occurred!"
"Import successfully done","Import successfully done"
"Sorry, but the data is invalid or the file is not uploaded.","Sorry, but the data is invalid or the file is not uploaded."
"The file was not uploaded.","The file was not uploaded."
"This file is empty. Please try another one.","This file is empty. Please try another one."
"Data validation failed. Please fix the following errors and upload the file again.","Data validation failed. Please fix the following errors and upload the file again."
"Attributes <strong id=""missing_attributes_list"">%1</strong> are not exist in your system.","Attributes <strong id=""missing_attributes_list"">%1</strong> are not exist in your system."
"<span id=""missing_attribute_values_list"">Some attribute values are not exist in your system.</span>","<span id=""missing_attribute_values_list"">Some attribute values are not exist in your system.</span>"
"File is valid!","File is valid!"
"The file is valid, but we can't import it for some reason.","The file is valid, but we can't import it for some reason."
"Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4","Checked rows: %1, checked entities: %2, invalid rows: %3, total errors: %4"
"<span id=""attribute_created"">All missing attribute values were created. Validate your Job again!</span>","<span id=""attribute_created"">All missing attribute values were created. Validate your Job again!</span>"
"Import source type class for '"" . . ""' is not exist.","Import source type class for '"" . . ""' is not exist."
"Begin export of %1","Begin export of %1"
"There is no data for the export.","There is no data for the export."
"Exported %1 rows.","Exported %1 rows."
"The export is finished.","The export is finished."
"Please provide filter data.","Please provide filter data."
"Please enter a correct entity model.","Please enter a correct entity model."
"The adapter object must be an instance of %1.","The adapter object must be an instance of %1."
"Please correct the file format.","Please correct the file format."
"The header column names are already set.","The header column names are already set."
"Could not save the job: %1","Could not save the job: %1"
"Export History with id ""%1"" does not exist.","Export History with id ""%1"" does not exist."
"Could not delete the job: %1","Could not delete the job: %1"
Orders,Orders
"You have not selected items","You have not selected items"
"Begin Export","Begin Export"
"Scope Data","Scope Data"
"Write to Source","Write to Source"
label,label
"Entity %1","Entity %1"
"Job with id ""%1"" does not exist.","Job with id ""%1"" does not exist."
"Unable to open SFTP connection as %1@%2","Unable to open SFTP connection as %1@%2"
"Begin data validation","Begin data validation"
"Import data validation is complete.","Import data validation is complete."
"Too many errors. Please check your debug log file.","Too many errors. Please check your debug log file."
"Import job #' . . ' failed.","Import job #' . . ' failed."
"in rows","in rows"
"'%1' model extension is not supported","'%1' model extension is not supported"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource"
"email: %1 is not valided","email: %1 is not valided"
"email: %1 .... %2s","email: %1 .... %2s"
"sku: %1 .... %2s","sku: %1 .... %2s"
"name: %1 .... %2s","name: %1 .... %2s"
"Import History with id ""%1"" does not exist.","Import History with id ""%1"" does not exist."
